FECHA_CORTE;PER;CONG;NSELV;DOMINIO;ESTRATO;ESTRATOSOCIO;FACTORFINAL_HOGAR;CCDD;NOMBREDD;CCPP;NOMBREPP;CCDI;NOMBREDI;CCCP;NOMBRECP;UBIGEO
20230426;4;2;119;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;4;2;119;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;4;2;146;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;4;2;252;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;4;2;277;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;4;2;277;1;5;2;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;3;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;50;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;50;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;161;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;161;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;161;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;176;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;194;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;211;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;12;10;211;1;5;4;1059811516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201
20230426;8;1401;5;1;5;3;1324764395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201
